artist	sing	rank	chord
陳勢安 (Andrew Tan)	天后 (八大韓劇【同伊】片尾主題曲)	1	1,1,1,4,4,4,1,1,6#m,6#m,6#m,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1bm,1bm,1bm,1bm,6#m,6#m,6#m,6#m,5,5,5,5,4,4,4,4,4,1,1,5,5,2m,2m,5,5,4,4,5,5,1,1,1,1,1bm,1bm,1,1,6#m,6#m,6#m,6#m,5,5,5,5,5,5,4,4,4,4,4,4,4bm,4bm,1,1,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,5,5,5,1b,1b,1b,1b,6#m,6#m,6#m,6#m,6#m,6#m,6#m,6#m,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2m,2m,2m,2m,2m,2m,2m,2m,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,6#m,6#m,6#m,6#m,6#m,6#m,6#m,6#m,5,5,5,5,5,5,2,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2m,2m,2m,2m,2m,2m,2m,2m,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1bm,1bm,1bm,1bm,1bm,1bm,1bm,1bm,6#m,6#m,6#m,6#m,6#m,6#m,6#m,6#m,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4bm,4bm,4bm,4bm,4bm,4bm,4bm,4bm,2m,2m,2m,2m,2m,2m,2m,2m,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,5,5,6#m,6#m,6#m,6#m,6#m,6#m,6#m,6#m,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,1,1,1,4bm,4bm,6#m,6#m,2m,2m,2m,2m,2m,2m,2m,2m,5,5,5,5,5,5,6#m,6#m,1,1,1,1,1,1,1,1,5,5,5,1bm,1bm,1bm,1bm,1,6#m,6#m,6#m,6#m,6#m,6#m,6#m,6#m,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5,5,5,5,5,5,2m,2m,6#,6#,6#,6#,6#,6#,6#,6#,4b,4b,4b,4b,4b,4b,4b,4b,5bm,5bm,5bm,5bm,5bm,5bm,5bm,5bm,2,2,2,2,2,2,2,2,6#,6#,6#,6#,6#,6#,6#,6#,4b,4b,4b,4b,4b,4b,4b,4b,5bm,5bm,5bm,5bm,5bm,5bm,5bm,5bm,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,6#m,6#m,6#m,6#m,6#m,6#m,6#m,6#m,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2m,2m,2m,2m,2m,2m,2m,2m,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,1,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
陳芳語 (Kimberley)	愛你 (偶像劇  片尾曲)	2	1,1,1,1,6#,6#,6#,6#,4,4,4,4,5,5,5,5,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,4,4,4,4,1,1,1,1,6#m,6#m,6#m,6#m,4,4,5,5,5,5,5,5,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,4,4,4,4,1,1,1,1,6#m,6#m,6#m,6#m,6#m,4,4,4,4,1,5,5,1,1,1,1,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,1,1,1,1,5,5,5,5,6#m,6#m,6#m,6#m,4,4,4,4,1,1,1,1,5,5,5,5,6#m,6#m,6#m,6#m,4,4,4,4,1,1,1,1,5,5,5,5,2m,2m,2m,2m,1,1,1,1,4,4,4,4,5,5,5,5,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,4,4,4,4,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,5,5,5,5,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,4,4,4,4,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,5,5,5,5,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,4,4,4,4,1,1,1,1,6#m,6#m,6#m,6#m,6#m,4,4,4,4,1,5,5,1,1,1,1,1,1,1,1,6#m,6#m,6#m,6#m,4,4,4,4,1,1,1,1,5,5,5,5,6#m,6#m,6#m,6#m,1,1,1,1,1,1,1,1,5,5,5,5,6#m,6#m,6#m,6#m,4,4,4,4,1,1,1,1,5,5,5,5,2m,2m,2m,2m,1,1,1,1,4,4,4,4,5,5,5,5,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2m,2m,2m,2m,2m,2m,2m,2m,1,1,2m,2m,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2m,2m,2m,2m,2m,2m,2m,2m,4,4,4bm,4bm,2m,2m,2m,2m,6#m,6#m,6#m,6#m,4,4,4,4,1,1,1,1,5,5,5,5,6#m,6#m,6#m,6#m,1,1,1,1,1,1,1,1,5,5,5,5,6#m,6#m,6#m,6#m,4,4,4,4,1,1,1,1,1,1,1,1,2m,2m,2m,2m,1,1,1,1,4,4,4,4,5,5,5,5,2m,2m,2m,2m,1,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
五月天 (Mayday)	我不願讓你一個人【三立「真愛找麻煩」片尾曲】	3	1,1,1,2m,2m,2m,2m,5,5,5,1,1,2m,2m,3m,4,4,4,4,7#m,7#m,7#m,5,5,1,1,5m,5m,1,1,1,1,4,4,4,4,5,5,5,5,5,5,3m,3m,6,6,6,2m,2m,6m,6m,7#m,2,2,2,2,5,5,5,5,5,5,1,1,1,1,1,1,2,2,2,2,3m,3m,3m,1,1,1,1,4,4,4,4,4,4,1,1,2,2m,2m,1,1,1,1,1,1,5m,5m,5m,1,1,1,1,6m,4,4,4,4,3m,5,5,5,5,2m,2m,7,5,5,5,5,1,1,1,1,5,5,5,5,1,1,1,1,2m,2m,2m,2m,5,5,5,5,1,1,1,1,4,4,4,4,4,4,1,1,2m,2m,2m,2m,1,1,1,1,5,5,5,5,1,1,1,1,4,4,4,4,3m,3m,5,5,2m,2m,4,4,5,5,5,5,1,1,2m,2m,1,1,1,1,4,4,4,4,5,5,5,5,5,5,3m,3m,6m,6m,6m,6m,2m,2m,2m,2m,3,3,6b,6b,6m,6m,6b,6b,1,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,1,1,1,1,2m,2m,2m,2m,5,5,5,5,4,4,1,1,2m,2m,5,5,1,1,1,1,2m,2m,2m,2m,7#m,7#m,7#m,7#m,6m,6m,5,5,4,4,4,4,4,4,3m,3m,2m,2m,2m,2m,1,1,1,1,5m,5m,5m,5m,1,1,1,1,4,4,4,4,3m,3m,5,5,2m,2m,2m,2m,5,5,5,5,1,1,2m,2m,1,1,1,1,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4m,4m,4m,4m,4m,4m,4m,1,1,1,1,1,1,1,1,4,4,4,4,5,5,5,5,3m,3m,5,5,1,1,1,1,4,4,4,4,3m,3m,3m,3m,6b,6b,6b,6b,5,1,1,1,1,4,4,4,5,5,5,5,3m,3m,3m,3m,6m,6m,6m,6m,2m,2m,2m,2m,3,3,6b,6b,6m,6m,3,3,1,1,1,1,4,4,4,4,5,5,5,5,3m,3m,3m,3m,6m,6m,6m,6m,6m,6m,6m,6m,6m,6m,6m,6m,2,2,2m,2m,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,7#,7#,1,1,1,1,1,4,4,4,4,4,4,1,4,4,2m,2m,1,1,1,1,5,5,5,5,1,1,1,1,1,1,4,4,3,3,3m,3m,5,5,2,2,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,4,4,4,4,3m,3m,3m,5,5,2m,2m,1,1,5,5,5,6m,6m,6b,1,1,5,5,4,4,4,4,2,5,5,5,5,6b,1m,1m,1m,1m,5,5,1,1,2m,2m,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2m,2m,2m,2m,5,5,5,1,1,1,1,1,1,1,1,4,4,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
曲婉婷 (Wanting Qu)	我的歌聲裡  (You Exist in My Song)	4	1,1,1,3b,3b,3b,3b,5#,5#,5#,5#,4bm,4bm,4bm,4bm,1,1,1,1,5#,3b,3b,3b,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,3b,1bm,1bm,1bm,1bm,4bm,4bm,4bm,4bm,3b,3b,3b,3b,3b,1,1,1,1,5#,1bm,1bm,1bm,1bm,7bm,7bm,7bm,7bm,3b,3b,3b,3b,5#,5#,5#,5#,1bm,1bm,1bm,1bm,1bm,1bm,4bm,4bm,4bm,4bm,3b,3b,3b,3b,1,1,1,1,1,1,1,1,3b,3b,3b,3b,3b,3b,3b,3b,3b,1,1,1,1,3b,3b,3b,3b,5#,5#,3b,1bm,4bm,4bm,4bm,4bm,1,1,1,1,3b,3b,3b,3b,5#,5#,5#,5#,5#,4,4,4,4,1,1,1,1,1,1,3b,3b,3b,3b,5#,5#,5#,5#,4bm,4bm,4bm,4bm,1,1,1,1,3b,3b,3b,3b,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,3b,3b,3b,3b,4bm,4bm,4bm,4bm,5#,5#,5#,5#,1,1,1,1,5#,5#,5#,5#,5#,5#,5#,5#,3b,3b,3b,3b,5#,5#,5#,5#,1bm,1bm,3b,3b,4bm,4bm,4bm,4bm,5#,5#,5#,5#,1,1,1,1,1,1,1,1,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,3b,1,1,1,1,3b,3b,3b,3b,5#,5#,5#,5#,4bm,4bm,4bm,4bm,1,1,1,1,5#,5#,3b,3b,5#,5#,5#,5#,3bm,3bm,3bm,3bm,1,1,1,1,3b,3b,3b,3b,5#,5#,1bm,1bm,4bm,4bm,4bm,4bm,1,1,1,1,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,5#,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4b,4b,4b,4b,4b,4b,4b,4b,4b,4b,4b,4b,4b,4b,4b,4b,3b,3b,3b,3b,4b,4b,4b,4b,7bm,7bm,4b,4b,5m,5m,5m,5m,3b,3b,3b,3b,4bm,4bm,4bm,4bm,7b,7b,7b,7b,5#,5#,7b,7b,3b,3b,3b,3b,4b,4b,4b,4b,7b,7b,7b,7b,5m,5m,5m,5m,3b,3b,3b,3b,4b,4b,4b,4b,7b,7b,7b,7b,7b,7b,1bm,1bm,4b,4b,4bm,4bm,7b,7b,7b,7b,5,5,5,5,3b,3b,3b,3b,7bm,5m,5m,5m,5m,4bm,4bm,4bm,4bm,7b,7b,7b,7b,7b,7b,5#,3b,3b,3b,3b,5m,5m,3b,3b,5m,5m,4,4,4,4,4bm,4bm,4bm,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b,7b
A-Lin	幸福了 然後呢 (緯來戲劇台「小媳婦女王」片頭曲	5	1b,1b,1b,1b,1b,1b,1b,3,3,3,3,3,3,3,3,6bm,3#,3#,3#,3#,2bm,2bm,2bm,2bm,5b,5b,5b,5b,5b,5b,5b,5b,1b,1b,1b,1b,1b,1b,1b,1b,3,3,3,3,3,3,3,3,3#,3#,3#,3#,2bm,2bm,2bm,2bm,5b,5b,5b,5b,5b,5b,5b,5b,1b,1b,1b,1b,1b,1b,1b,1b,3m,3m,3m,3m,3m,3m,3m,3m,6bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,Cm,Cm,1b,1b,2b,2b,2b,2b,3,3,3,3,6bm,6bm,6bm,6bm,3#,3#,3#,3#,1b,1b,1b,1b,3,3,3,3,6bm,6bm,6bm,6bm,3#,3#,3#,3#,3#,3#,3#,3#,5b,5b,2bm,2bm,2bm,2bm,5b,5b,1b,1b,1b,1b,1b,1b,3#,3#,6bm,6bm,6bm,6bm,3#,3#,3#,3#,1b,1b,1b,1b,3#,3#,3#,3#,5b,5b,5b,5b,3#,3#,5b,5b,1b,1b,1b,1b,3#,3#,3#,3#,6bm,6bm,6bm,6bm,3#,3#,3#,3#,1b,1b,1b,1b,3#,3#,3#,3#,5b,5b,5b,5b,5m,5m,5m,5m,6bm,6bm,6bm,6bm,1b,1b,5b,5b,6b,2b,2b,2b,2b,2b,2b,6bm,1b,1b,1b,1b,1b,1b,1b,1b,3,3,3,3,3,3,3,3,6bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,4,4,1b,1b,2b,2b,2b,2b,1b,1b,1b,1b,1b,1b,1b,1b,3,3,3,3,3,3,3,3,3#,3#,3#,3#,2bm,2bm,2bm,2bm,5b,5b,5b,5b,5b,5b,5b,5b,1b,1b,1b,1b,1b,1b,2bm,2bm,3m,3m,3m,3m,3m,3m,3m,3m,6bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,4,4,1b,1b,2bm,2bm,2bm,2bm,3,3,3,3,6bm,6bm,6bm,6bm,3#,3#,3#,3#,1b,1b,1b,1b,3,3,3,3,6bm,6bm,6bm,6bm,3#,3#,3#,3#,3#,3#,3#,3#,2b,2b,2bm,2bm,3#,3#,5b,5b,1b,1b,1b,1b,3#,3#,3#,3#,6bm,6bm,6bm,6bm,3#,3#,3#,3#,1b,1b,1b,1b,3#,3#,3#,3#,5b,5b,5b,5b,3#,3#,5b,5b,1b,1b,1b,1b,1b,1b,3#,3#,6bm,6bm,6bm,6bm,3#,3#,3#,3#,1b,1b,1b,1b,3#,3#,3#,3#,5b,5b,5b,5b,3m,3m,3m,3m,3#,3#,3#,3#,1b,1b,5b,5b,2b,2b,2b,2b,2b,2b,2b,2b,3#,3#,3#,3#,3#,3#,3#,3#,2bm,2bm,2bm,2bm,2bm,2bm,2bm,2bm,3#,3#,3#,3#,3#,3#,3#,3#,5b,5b,5b,5b,5b,5b,5b,5b,1b,1b,1b,1b,1b,1b,3#,3#,1b,1b,1b,1b,1b,1b,3#,3#,1b,1b,1b,1b,1b,1b,1b,1b,5b,5b,5b,5b,3#,3#,5b,5b,1b,1b,1b,1b,1b,1b,3#,3#,6bm,6bm,6bm,6bm,3#,3#,3#,3#,1b,1b,1b,1b,3#,3#,3#,3#,5b,5b,5b,5b,3,3,3,3,6bm,6bm,6bm,6bm,5b,5b,5b,5b,3#,3#,3#,3#,2bm,2bm,2bm,2bm,6bm,6bm,6bm,6bm,6bm,6bm,3#,3#,3#,3#,2bm,2bm,6b,6b,6b,6b,6bm,6bm,6bm,6bm,1b,1b,1b,1b,3#,3#,3#,3#,2bm,2bm,2bm,2bm,6bm,6bm,6bm,6bm,1b,1b,1b,1b,3#,3#,3#,3#,2bm,2bm,2bm,2bm,6bm,6bm,6bm,6bm,1b,1b,1b,1b,3#,3#,3#,3#,2bm,2bm,2bm,2bm,6bm,6bm,6bm,6bm,1b,1b,1b,1b,3#,3#,3#,3#,2bm,2bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,3#,3#,3#,3#,2bm,2bm,2bm,2bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,6bm,3#,3#,3#,3#,2bm,2bm,2bm,2bm,1b,1b,1b,1b,1b,1b,1b,1b,2bm,2bm,3#,3#,3#,3#,3#,3#,1b,1b,1b,1b,1b,1b,1b,1b,3#,3#,3#,3#,6b,6b,2bm,2bm,2bm,2bm,2bm,2bm
周杰倫 (Jay Chou)	說好的幸福呢	6	1,1,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1,1,2m,2m,5m,5m,5m,5m,6m,6m,6m,6m,6m,6m,6m,6m,2,2,2,2,2,2,2,2,1,1,1,1,6,6,6,6,4,4,1,1,2m,2m,6m,6m,6m,6m,6m,6m,5,5,5,5,5,5,6,6,2m,2m,6m,6m,6m,6m,6m,6m,6,6,6,6,4,4,3m,3m,2m,2m,2,2,1,1,1,1,5m,5m,5m,5m,5m,5m,1,1,6,6,6,6,6,6,6,6,6,6,6m,6m,6m,6m,2m,2m,2m,2m,5m,5m,5m,4,4,4,4,4,4,6,4,4,1,1,1,1,3,3,6,6,6,6,6,6,6,6,6m,6m,6m,6m,1,2m,2m,2m,2m,5m,5m,5m,5m,5m,1,1,4,4,4,4,4,4,2m,2m,2m,2m,2m,2m,6,6,6,6,6m,6m,6m,6m,6m,2m,2m,2m,2m,5m,5m,5m,6,6,1,1,1,1,4,4,4,4,4,4,4,4,2m,2m,2m,2m,6m,6m,6m,6m,5m,5m,6m,6m,6m,6m,6m,6m,2m,2m,2m,2m,2m,2m,2m,2m,6m,6m,6m,6m,6,6,6,6,4,4,3m,3m,2m,2m,2m,2m,6m,6m,6m,6m,5m,5m,5m,5m,5,5,6,6,2m,2m,2m,2m,6m,6m,6m,6m,6,6,6,6,4,4,3m,3m,2m,2m,2m,2m,1,1,1,1,2m,2m,2m,2m,1,1,1,1,6,6,6,6,6,6,6,6,6m,6m,6m,6m,2m,2m,2m,2m,5m,5m,5m,5m,6m,6m,6m,6m,6,6,6,6,1,1,1m,1m,2b,2b,1m,1m,6#,6#,6#,6#,6#,6#,2b,2b,2b,2b,2b,2b,5b,5b,3bm,3bm,6bm,6bm,6bm,6bm,2b,2b,2b,2b,5b,5b,5b,5b,6bm,6bm,5b,5b,5b,5b,6#,6#,6#,6#,6#,6#,6m,6m,6m,6m,3bm,3bm,3bm,3bm,6bm,6bm,6bm,6bm,5b,5b,5b,5b,5b,5b,5b,5b,5b,5b,5b,5b,6#,6#,6#,6#,6#,6#,6#,6#,6m,6m,6m,6m,3bm,3bm,3bm,3bm,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,5b,5b,6bm,6bm,5b,5b,5b,5b,6#,6#,6#,6#,6#,6#,6m,6m,6m,6m,3bm,3bm,3bm,3bm,6bm,6bm,6bm,6bm,2b,2b,2b,2b,5b,5b,5b,5b,5b,5b,5b,5b,6#,6#,6#,6#,6#,6#,6#,6#,5b,5b,5b,5b,5b,5b,5b,5b,5b,5b,5b,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#,6#
林俊傑 (JJ Lin)	修煉愛情	7	1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,4b,4b,4b,4b,5b,5b,5b,5b,5b,5b,5b,5b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,1b,5b,5b,5b,5b,4b,4b,4b,4b,4b,4b,4b,4b,6m,6m,6m,6m,3m,3m,3m,3m,2m,2m,2m,2m,2m,2m,2m,2m,6m,6m,6m,6m,3m,3m,3m,3m,4b,4b,4b,4b,4b,4b,4b,4b,5b,5b,5b,5b,5b,5b,5b,5b,5b,5b,2m,2m,2m,2m,2m,5b,5b,5b,5b,3m,5b,5b,5b,5b,1b,1b,1b,1b,4b,4b,4b,4b,5b,5b,5b,1b,1b,1b,1b,1b,1b,1b,1b,4b,4b,4b,4b,4b,5b,5b,5b,5b,5b,5b,1b,1b,1b,1b,1b,2m,2m,2m,2m,4b,1b,1b,1b,5b,5b,5b,5b,5b,5b,1b,1b,4b,4b,4b,4b,5b,5b,5b,1b,1b,5b,5b,1b,1b,6m,6m,2m,2m,2m,2m,2m,2m,5b,5b,5b,5b,1b,1b,1b,7b,7b,1b,1b,4b,4b,4b,4b,4b,4b,5b,5b,3m,3m,3m,3m,1b,1b,1b,1b,1b,4b,4b,4b,4b,5b,5b,5b,5b,1b,1b,2m,2m,1b,1b,1b,1b,1b,5b,5b,5b,5b,5b,5b,1b,4b,4b,4b,4b,4b,4b,4b,4b,3m,3m,3m,3m,3m,3m,3m,3m,4b,4b,1b,1b,1b,1b,1b,1b,6m,6m,6m,6m,6m,6m,3m,3m,2m,2m,2m,2m,2m,2m,2m,2m,6m,6m,6m,6m,3m,3m,3m,3m,2m,2m,2m,2m,2m,2m,2m,2m,5b,5b,5b,5b,5b,5b,5b,5b,4b,4b,4b,4b,4b,4b,4b,4b,3m,3m,3m,3m,6m,6m,6m,6m,2m,2m,2m,2m,5b,5b,5b,5b,1b,1b,1b,1b,1b,1b,1b,1b,4b,4b,4b,4b,4b,4b,4b,4b,3m,3m,3m,3m,6m,6m,4b,4b,1b,1b,2m,2m,4b,4b,4b,4b,5b,5b,5b,5b,5b,5b,5b,5b,4b,4b,4b,4b,5b,5b,5b,5b,5b,5b,5b,5b,6m,6m,6m,6m,2m,2m,2m,2m,2m,2m,5b,5b,5b,5b,1b,1b,1b,1b,1b,1b,4b,4b,4b,4b,4b,4b,4b,4b,3m,3m,3m,3m,6m,6m,5b,5b,4b,4b,4b,4b,4b,4b,1b,1b,6m,6m,6m,6m,6m,5b,5b,5b,5b,2,2,2,2,2,2,2,6m,6m,6m,6m,6m,5b,5b,5b,5b,2,2,2,2,2,2,2,4b,4b,4b,4b,5b,5b,5b,5b,3,3,3,3,6m,6m,1b,1b,2m,2m,2m,2m,4b,4b,4b,4b,5b,5b,5b,5b,5,5,5,5,4,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,4,1,1,2#m,2#m,2#m,2#m,5,5,5,5,5,5,1,1,5m,5m,1,1,4,4,4,4,2#,2#,5,5,4bm,4bm,4bm,4bm,1,1,1,1,2#m,2#m,2#m,2#m,5,5,5,5,1,1,4,4,1,1,1,1,4,4,4,4,5,5,4bm,4bm,4bm,4bm,4bm,4bm,7bm,7bm,7bm,7bm,2#m,2#m,2#m,2#m,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
周杰倫 (Jay Chou)	明明就	8	1#m,1#m,1#m,1#m,6,6,6,6,7,7,7,7,6bm,6bm,1#m,1#m,1#m,1#m,1#m,4m,4m,4m,4m,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,1#m,1#m,1#m,1#m,4,4,4,4,4,7,7,7,7,7,7,7,3,3,3,3,4,4,4,4,3,6m,6m,6m,3,3,6bm,7,7,3,3,3,4,4,4,4,7,7,7,7,7,7,7,1#m,1#m,1#m,1#m,6b,6b,6b,6b,6b,6b,1#m,1#m,1#m,1#m,7,7,7,7,4m,4m,4m,4m,4m,4m,4m,4m,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,7,7,7,1#m,1#m,1#m,1#m,6,6,6,6,6,6,3,3,3,3,3,3,4m,4m,3,3,6,6,6,6,6,6,7,7,6bm,6bm,6bm,6bm,1#m,1#m,1#m,1#m,1#m,1#m,1#m,1#m,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6m,6m,7m,7m,3,3,3,3,7,7,7,7,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,7,7,7,7,7,7,7,7,3,3,3,3,3,3,3,3,6m,6m,6m,6m,3,3,3,3,3,3,3,3,4,4,4,4,4,7,7,7,7,7,7,3,3bm,3bm,3bm,3bm,6b,6b,6b,6b,1#m,1#m,1#m,1#m,7,7,7,7,4m,4m,4m,4m,1#m,1#m,1#m,1#m,1#m,1#m,7,7,7,7,7,3,3,3,3,6,7,7,7,7,7,7,7,7,1#m,1#m,1#m,1#m,4m,4m,6,6,6,6,6,6,3,3,3,3,4m,4m,3,3,3,3,6,6,6,7,7,6,6bm,6bm,6bm,6bm,1#m,1#m,1#m,1#m,1#m,1#m,1#m,1#m,6,6,3,3,3,3,3,3,3,3,3,3,6,6,6,6,7,7,7,7,7,7,7,7,3,3,3,3,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,6bm,6bm,7,7,3,3,7,7,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3m,3m,3m,3m,3m,3m,3m,3m,6m,6m,6m,6m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
五月天 (Mayday)	傷心的人別聽慢歌 (貫徹快樂)	9	1#,4b,4b,4b,4b,3,3,5,5,3m,3m,3m,3m,3,3,5,5,7m,7m,7m,7m,3,3,5,5,7m,7m,7m,7m,3m,3m,3m,3m,2,2,2,2,5,5,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,2,2,2,2,7m,7m,7m,7m,6,6,6,6,7,7,7,7,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,2,2,2,2,7m,7m,7m,7m,6m,6m,6m,6m,7,7,7,3m,3m,3m,3m,3m,3m,3m,3m,5,1,1,1,1,2,2,2,2,3m,3m,3m,3m,2,2,5,5,3m,3m,3m,3m,2,2,2,2,3m,3m,3m,3m,7,7,7,7,3m,3m,3m,3m,2,2,2,2,6m,6m,6m,6m,7,7,7,7,3m,3m,3m,3m,2,2,2,2,6,6,6,6,7m,7m,3m,3m,3m,3m,2,2,6,6,6,6,2,2,3m,3m,3m,3m,3m,3m,5,5,4m,4m,3m,3m,3m,3m,3m,3m,3m,3m,2,2,2,2,7m,7m,7m,7m,6,6,6,6,7,7,7,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,5,3m,3m,3m,3m,2,2,2,2,7m,7m,7m,7m,6m,6m,7m,7m,7m,7m,7m,7m,3m,3m,3m,3m,3m,3m,3m,3m,1,1,1,1,2,2,2,2,3m,3m,3m,3m,2,2,7m,7m,3m,3m,3m,3m,2,2,2,2,3m,3m,3m,3m,7m,7m,7m,7m,3m,3m,3m,3m,2,2,2,2,2,2,2,2,7,7,7,7,3m,3m,3m,3m,2,2,2,2,6,6,6,6,7m,7m,7m,7m,3m,3m,2,2,6,6,1,1,7,7,7,3m,3m,3m,3m,5,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,3m,6m,6m,6m,6m,7,7,7,7,3m,3m,3m,3m,7,7,7,7,3m,3m,3m,3m,3m,3m,3m,3m,6,6,6,6,7,7,7,7,3m,3m,3m,3m,2,2,2,2,6,6,6,6,7,7,7,7,3m,3m,3m,3m,2,2,2,2,6,6,6,6,7m,7m,7m,7m,3,3,2,2,1#,1#,1,1,7,7,7,7,2,2,3,3,3,3,2,2,6,6,1,1,7,7,3m,3m,3m,3m,5,5,7,7,7,7,3,3,5,5,6,6,7m,7m,3,3,5,5,7m,7m,7m,7m,3,3,5,5,7m,7m,7m,7m,1,1,5,5,3,3,3,3,3,3
